MMM,NYSE,STOCK,USD,0.01,3M Company Common Stock ,3M Company Common Stock 
AXP,NYSE,STOCK,USD,0.01,American Express Company Common Sto,American Express Company Common Sto
AAPL,NASDAQ,STOCK,USD,0.01,Apple Inc. Common Stock ,Apple Inc. Common Stock 
BA,NYSE,STOCK,USD,0.01,Boeing Company  Common Stock ,Boeing Company  Common Stock 
CAT,NYSE,STOCK,USD,0.01,Caterpillar,Caterpillar
CVX,NYSE,STOCK,USD,0.01,Chevron Corporation Common Stock ,Chevron Corporation Common Stock 
CSCO,NASDAQ,STOCK,USD,0.01,Cisco Systems,Cisco Systems
KO,NYSE,STOCK,USD,0.01,Coca-Cola Company  Common Stoc,Coca-Cola Company  Common Stoc
DIS,NYSE,STOCK,USD,0.01,Walt Disney Company  Common St,Walt Disney Company  Common St
DD,NYSE,STOCK,USD,0.01,E.I. du Pont de Nemours and Company,E.I. du Pont de Nemours and Company
XOM,NYSE,STOCK,USD,0.01,Exxon Mobil Corporation Common Stoc,Exxon Mobil Corporation Common Stoc
GE,NYSE,STOCK,USD,0.01,General Electric Company Common Sto,General Electric Company Common Sto
GS,NYSE,STOCK,USD,0.01,Goldman Sachs Group,Goldman Sachs Group
HD,NYSE,STOCK,USD,0.01,Home Depot,Home Depot
IBM,NYSE,STOCK,USD,0.01,International Business Machines Cor,International Business Machines Cor
INTC,NASDAQ,STOCK,USD,0.01,Intel Corporation Common Stock ,Intel Corporation Common Stock 
JNJ,NYSE,STOCK,USD,0.01,Johnson ,Johnson 
JPM,NYSE,STOCK,USD,0.01,JP Morgan Chase ,JP Morgan Chase 
MCD,NYSE,STOCK,USD,0.01,McDonald,McDonald
MRK,NYSE,STOCK,USD,0.01,Merck ,Merck 
MSFT,NASDAQ,STOCK,USD,0.01,Microsoft Corporation Common Stock ,Microsoft Corporation Common Stock 
NKE,NYSE,STOCK,USD,0.01,Nike,Nike
PFE,NYSE,STOCK,USD,0.01,Pfizer,Pfizer
PG,NYSE,STOCK,USD,0.01,Procter ,Procter 
TRV,NYSE,STOCK,USD,0.01,The Travelers Companies,The Travelers Companies
UTX,NYSE,STOCK,USD,0.01,United Technologies Corporation Com,United Technologies Corporation Com
UNH,NYSE,STOCK,USD,0.01,UnitedHealth Group Incorporated Com,UnitedHealth Group Incorporated Com
VZ,NYSE,STOCK,USD,0.01,Verizon Communications Inc. Common ,Verizon Communications Inc. Common 
V,NYSE,STOCK,USD,0.01,Visa Inc. ,Visa Inc. 
WMT,NYSE,STOCK,USD,0.01,Wal-Mart Stores,Wal-Mart Stores