AAL,2018-11-23,36.76,38.27,34.86,37.95,37.03,Stay Long
ABMD,2018-11-23,316.03,316.32,280.83,299.41,298.85,Stay Long
ACB,2018-11-23,6.23,6.37,5.62,6.07,6.02,Stay Long
ACHC,2018-11-23,32.41,33.48,28.63,31.65,31.25,Stay Long
ADBE,2018-11-23,237.50,238.65,207.02,225.56,223.74,Stay Long
ADI,2018-11-23,89.62,90.83,83.84,88.64,87.77,Stay Long
ADSK,2018-11-23,134.21,139.40,120.10,132.69,130.73,Stay Long
AEIS,2018-11-23,43.40,44.02,41.05,43.32,42.80,Stay Long
AEO,2018-11-23,20.25,20.50,18.51,19.54,19.52,Stay Long
AIRG,2018-11-23,12.70,12.99,12.05,12.71,12.58,Stay Long
ALGN,2018-11-23,223.85,223.95,188.57,218.87,210.46,Stay Long
ALLK,2018-11-23,59.22,59.38,52.00,55.74,55.71,Stay Long
ALRM,2018-11-23,48.00,48.40,43.52,46.00,45.97,Stay Long
ALSN,2018-11-23,47.41,48.35,46.13,47.77,47.42,Stay Long
ALXN,2018-11-23,118.86,120.44,113.16,118.10,117.23,Stay Long
AMAT,2018-11-23,35.24,36.92,33.14,35.05,35.04,Stay Long
AMD,2018-11-23,20.40,20.59,17.18,19.38,19.05,Stay Long
AMED,2018-11-23,126.00,126.98,115.45,122.46,121.63,Stay Long
AMZN,2018-11-23,1577.01,1581.19,1420.00,1502.06,1501.08,Stay Long
APTI,2018-11-23,37.69,38.17,37.61,38.00,37.93,Stay Long
AQ,2018-11-23,9.83,10.24,8.92,9.87,9.68,Stay Long
ASGN,2018-11-23,67.81,68.39,65.43,67.85,67.22,Stay Long
ASML,2018-11-23,168.25,168.54,156.58,163.66,162.93,Stay Long
ATVI,2018-11-23,50.81,51.21,46.83,50.05,49.36,Stay Long
AYX,2018-11-23,59.71,60.37,47.07,53.85,53.76,Stay Long
AZUL,2018-11-23,27.54,28.17,26.35,27.52,27.35,Stay Long
BABA,2018-11-23,152.02,153.21,142.82,150.33,148.79,Stay Long
BBBY,2018-11-23,12.70,13.15,11.99,12.75,12.63,Stay Long
BCOR,2018-11-23,29.50,29.76,27.73,29.15,28.88,Stay Long
BEAT,2018-11-23,63.77,64.11,57.06,61.51,60.89,Stay Long
BIDU,2018-11-23,185.86,186.96,175.32,182.61,181.63,Stay Long
BIIB,2018-11-23,325.12,326.32,313.25,320.08,319.88,Stay Long
BILI,2018-11-23,14.40,16.13,12.85,14.98,14.65,Stay Long
BIO,2018-11-23,274.92,275.25,261.99,273.04,270.09,Stay Long
BJ,2018-11-23,21.21,23.32,19.31,21.89,21.51,Stay Long
BL,2018-11-23,37.00,39.50,34.01,38.85,37.45,Stay Long
BLDR,2018-11-23,12.38,13.23,11.82,12.92,12.66,Stay Long
BMRN,2018-11-23,95.59,96.07,90.99,93.78,93.61,Stay Long
BOOT,2018-11-23,21.51,21.92,19.10,20.54,20.52,Stay Long
BPMP,2018-11-23,16.46,16.85,15.51,16.31,16.22,Stay Long
CARB,2018-11-23,27.51,27.51,25.60,26.62,26.58,Stay Long
CBPX,2018-11-23,28.81,29.13,27.50,28.62,28.42,Stay Long
CCMP,2018-11-23,102.18,102.18,94.86,100.07,99.04,Stay Long
CERN,2018-11-23,57.89,57.89,55.72,56.91,56.84,Stay Long
CGC,2018-11-23,34.93,35.19,30.26,33.56,33.00,Stay Long
CHGG,2018-11-23,26.25,26.47,23.21,25.12,24.93,Stay Long
COHR,2018-11-23,130.40,131.02,121.05,127.93,126.67,Stay Long
COHU,2018-11-23,17.75,18.13,16.67,17.79,17.53,Stay Long
COLL,2018-11-23,17.33,18.90,16.76,18.32,17.99,Stay Long
CRON,2018-11-23,8.66,8.86,7.70,8.81,8.46,Stay Long
CRSP,2018-11-23,36.71,37.17,32.15,35.66,34.99,Stay Long
CRUS,2018-11-23,38.33,39.18,37.07,38.69,38.31,Stay Long
CTAS,2018-11-23,183.00,183.39,176.50,180.05,179.98,Stay Long
CURO,2018-11-23,14.18,14.18,13.21,13.76,13.72,Stay Long
CY,2018-11-23,13.90,13.99,13.02,13.60,13.54,Stay Long
DAN,2018-11-23,14.63,14.90,13.75,14.55,14.40,Stay Long
DBX,2018-11-23,23.06,23.15,19.54,22.35,21.68,Stay Long
DOCU,2018-11-23,38.85,41.36,35.06,40.82,39.08,Stay Long
DPZ,2018-11-23,263.62,265.52,241.70,262.50,256.57,Stay Long
DSW,2018-11-23,25.80,26.99,24.65,26.32,25.99,Stay Long
DVMT,2018-11-23,104.46,104.89,101.65,103.92,103.49,Stay Long
EBAY,2018-11-23,28.02,29.05,27.60,28.44,28.36,Stay Long
EBSB,2018-11-23,15.87,16.38,15.80,16.10,16.09,Stay Long
EDZ,2018-11-23,57.00,62.36,56.71,60.49,59.85,Stay Long
EEFT,2018-11-23,113.00,114.10,106.86,111.32,110.76,Stay Long
ENTG,2018-11-23,27.14,27.97,25.63,27.50,27.03,Stay Long
EPRT,2018-11-23,13.93,14.04,13.29,13.86,13.73,Stay Long
ESRX,2018-11-23,97.70,97.96,92.95,96.81,95.91,Stay Long
ETSY,2018-11-23,47.04,47.40,42.06,45.27,44.91,Stay Long
EXTR,2018-11-23,6.40,6.44,5.87,6.18,6.16,Stay Long
FAZ,2018-11-23,10.64,11.65,10.53,11.60,11.26,Stay Long
FND,2018-11-23,33.75,33.94,31.05,32.61,32.53,Stay Long
FNKO,2018-11-23,16.04,16.49,14.23,15.59,15.44,Stay Long
FOSL,2018-11-23,18.81,20.50,18.27,20.06,19.61,Stay Long
FOX,2018-11-23,47.71,49.46,47.43,48.66,48.52,Stay Long
FSCT,2018-11-23,25.85,26.07,22.80,24.47,24.45,Stay Long
GDDY,2018-11-23,62.97,63.27,56.67,60.34,60.09,Stay Long
GH,2018-11-23,37.22,38.83,31.06,38.40,36.10,Stay Long
GIII,2018-11-23,41.73,42.41,38.50,41.20,40.70,Stay Long
GLOB,2018-11-23,53.46,54.03,48.95,52.50,51.83,Stay Long
GLW,2018-11-23,31.90,31.97,30.27,31.17,31.14,Stay Long
GLYC,2018-11-23,11.86,12.26,11.25,12.00,11.84,Stay Long
GMED,2018-11-23,51.68,52.09,49.03,51.47,50.86,Stay Long
GOOS,2018-11-23,69.61,71.54,62.30,68.04,67.29,Stay Long
GPMT,2018-11-23,18.57,18.77,18.21,18.69,18.56,Stay Long
GWRE,2018-11-23,87.09,87.29,76.53,84.74,82.85,Stay Long
HAS,2018-11-23,97.75,98.04,93.48,96.03,95.85,Stay Long
HDB,2018-11-23,95.39,97.00,94.76,96.34,96.03,Stay Long
HEI,2018-11-23,84.60,84.60,78.64,82.33,81.86,Stay Long
HLF,2018-11-23,55.00,55.20,53.56,54.41,54.39,Stay Long
HLI,2018-11-23,41.52,41.80,39.44,41.00,40.75,Stay Long
HLT,2018-11-23,72.93,73.45,69.81,73.12,72.13,Stay Long
HOLX,2018-11-23,42.06,42.78,41.00,42.47,42.08,Stay Long
HOME,2018-11-23,27.99,28.15,24.56,26.45,26.39,Stay Long
HRTX,2018-11-23,26.44,26.67,22.91,26.04,25.21,Stay Long
HTHT,2018-11-23,29.52,29.61,26.30,28.60,28.17,Stay Long
HUD,2018-11-23,19.73,19.93,18.38,19.58,19.30,Stay Long
HUYA,2018-11-23,17.61,18.34,16.54,17.72,17.53,Stay Long
IAC,2018-11-23,181.48,183.00,158.29,174.13,171.81,Stay Long
IBP,2018-11-23,34.84,37.94,34.06,36.49,36.16,Stay Long
ICHR,2018-11-23,16.65,17.39,15.76,16.68,16.61,Stay Long
IDTI,2018-11-23,46.78,46.94,46.57,46.86,46.79,Stay Long
IIPR,2018-11-23,50.65,55.63,49.05,54.59,53.09,Stay Long
ILMN,2018-11-23,320.30,320.74,292.04,310.50,307.76,Stay Long
INSP,2018-11-23,45.31,45.31,39.00,43.64,42.65,Stay Long
IPGP,2018-11-23,138.42,139.17,131.90,137.74,136.27,Stay Long
IQ,2018-11-23,20.55,20.70,18.49,19.70,19.63,Stay Long
ITB,2018-11-23,30.95,32.04,30.47,31.72,31.41,Stay Long
JWN,2018-11-23,51.20,52.68,48.27,51.54,50.83,Stay Long
KBH,2018-11-23,18.94,20.80,18.81,20.58,20.06,Stay Long
KEM,2018-11-23,19.48,19.80,17.97,19.51,19.09,Stay Long
KL,2018-11-23,18.87,19.85,18.37,19.55,19.26,Stay Long
KLAC,2018-11-23,96.11,96.91,90.25,94.31,93.82,Stay Long
KORS,2018-11-23,45.70,45.89,43.05,44.88,44.61,Stay Long
KSU,2018-11-23,100.25,100.82,95.54,98.20,98.19,Stay Long
LASR,2018-11-23,18.76,19.61,17.77,18.94,18.77,Stay Long
LBTYA,2018-11-23,24.31,24.92,22.21,24.49,23.87,Stay Long
LBTYK,2018-11-23,23.88,24.40,21.83,24.07,23.43,Stay Long
LGIH,2018-11-23,41.32,44.35,40.88,42.80,42.68,Stay Long
LITE,2018-11-23,40.39,41.47,37.29,39.85,39.54,Stay Long
LOGM,2018-11-23,88.10,88.75,81.13,85.83,85.24,Stay Long
LPLA,2018-11-23,62.80,63.27,57.39,60.65,60.44,Stay Long
LTHM,2018-11-23,17.86,18.00,16.10,17.14,17.08,Stay Long
MAR,2018-11-23,118.45,118.86,113.14,117.26,116.42,Stay Long
MB,2018-11-23,26.31,26.49,23.02,25.60,25.04,Stay Long
MBIN,2018-11-23,24.00,24.15,23.24,24.00,23.80,Stay Long
MBUU,2018-11-23,46.39,48.38,42.00,45.84,45.41,Stay Long
MCB,2018-11-23,36.31,38.90,36.31,38.04,37.75,Stay Long
MCHP,2018-11-23,75.54,75.84,71.45,74.33,73.87,Stay Long
MCO,2018-11-23,147.24,151.86,144.06,150.19,148.70,Stay Long
MDB,2018-11-23,82.18,82.62,65.62,76.12,74.79,Stay Long
MEDP,2018-11-23,55.16,55.73,50.06,54.73,53.51,Stay Long
MGNX,2018-11-23,17.62,17.78,16.49,17.21,17.16,Stay Long
MIME,2018-11-23,36.07,36.35,33.21,35.50,35.02,Stay Long
MKSI,2018-11-23,73.88,74.30,68.73,72.94,71.99,Stay Long
MNST,2018-11-23,55.89,58.49,55.54,57.32,57.12,Stay Long
MODN,2018-11-23,14.00,14.01,13.39,13.72,13.71,Stay Long
MOMO,2018-11-23,32.67,33.07,28.76,31.67,31.17,Stay Long
MPWR,2018-11-23,127.17,127.42,116.60,124.33,122.78,Stay Long
MSCI,2018-11-23,152.85,153.29,141.38,149.83,148.17,Stay Long
MTCH,2018-11-23,39.32,39.65,33.30,38.45,37.13,Stay Long
MXIM,2018-11-23,53.20,53.58,51.05,52.76,52.46,Stay Long
MYOK,2018-11-23,59.19,59.70,54.51,57.53,57.25,Stay Long
NBIX,2018-11-23,90.46,91.81,85.20,90.33,89.11,Stay Long
NBLX,2018-11-23,36.15,36.63,33.48,35.37,35.16,Stay Long
NEXA,2018-11-23,12.57,12.73,11.95,12.60,12.43,Stay Long
NOW,2018-11-23,169.56,169.86,147.63,160.63,159.37,Stay Long
NTNX,2018-11-23,41.68,42.32,35.40,39.95,39.22,Stay Long
NVMI,2018-11-23,23.34,23.44,22.08,23.05,22.86,Stay Long
NYT,2018-11-23,26.28,26.40,24.53,25.85,25.59,Stay Long
OEC,2018-11-23,23.73,25.61,23.32,25.04,24.66,Stay Long
OKTA,2018-11-23,57.11,57.52,41.88,52.05,50.48,Stay Long
OLED,2018-11-23,89.65,90.49,83.03,88.07,87.20,Stay Long
ON,2018-11-23,18.69,18.86,17.05,18.67,18.19,Stay Long
ORLY,2018-11-23,352.62,358.42,335.83,350.63,348.29,Stay Long
PANW,2018-11-23,169.70,171.79,160.08,166.40,166.09,Stay Long
PAYC,2018-11-23,122.49,122.90,107.46,119.15,116.50,Stay Long
PETQ,2018-11-23,27.27,30.71,27.00,29.56,29.09,Stay Long
PFPT,2018-11-23,89.87,90.66,81.23,87.66,86.52,Stay Long
PKI,2018-11-23,82.00,82.59,78.97,81.67,81.08,Stay Long
PLNT,2018-11-23,53.30,53.49,48.02,52.90,51.47,Stay Long
POOL,2018-11-23,154.53,155.09,149.21,154.18,152.83,Stay Long
PRAH,2018-11-23,101.04,101.87,93.41,101.31,98.86,Stay Long
PTC,2018-11-23,86.51,87.41,78.48,83.92,83.27,Stay Long
PVTL,2018-11-23,18.24,18.27,16.18,17.69,17.38,Stay Long
QLYS,2018-11-23,74.54,74.96,66.59,72.51,71.35,Stay Long
QNST,2018-11-23,15.01,15.22,13.80,14.65,14.56,Stay Long
QTWO,2018-11-23,51.55,51.55,46.47,50.05,49.36,Stay Long
REDU,2018-11-23,8.83,8.92,8.00,8.75,8.56,Stay Long
REGN,2018-11-23,343.45,349.63,331.54,340.86,340.68,Stay Long
RGEN,2018-11-23,65.50,66.00,61.05,63.94,63.66,Stay Long
RGNX,2018-11-23,64.20,64.89,56.63,63.10,61.54,Stay Long
RHT,2018-11-23,173.50,175.25,172.61,175.15,174.34,Stay Long
ROG,2018-11-23,123.77,123.77,116.56,120.49,120.27,Stay Long
RP,2018-11-23,48.50,48.60,42.90,47.59,46.36,Stay Long
RTEC,2018-11-23,19.95,20.13,19.05,19.78,19.65,Stay Long
RUN,2018-11-23,12.77,12.98,11.60,12.42,12.33,Stay Long
RUTH,2018-11-23,25.80,25.95,24.74,25.61,25.43,Stay Long
RYAAY,2018-11-23,79.36,84.99,76.92,83.70,81.87,Stay Long
SEDG,2018-11-23,38.58,40.14,36.84,39.98,38.99,Stay Long
SFIX,2018-11-23,26.64,26.84,22.51,25.33,24.89,Stay Long
SFLY,2018-11-23,48.67,49.78,46.60,48.76,48.38,Stay Long
SHPG,2018-11-23,177.68,178.94,175.00,177.00,176.98,Stay Long
SIRI,2018-11-23,6.25,6.26,5.83,6.06,6.05,Stay Long
SODA,2018-11-23,143.27,143.49,143.15,143.45,143.36,Stay Long
SPLK,2018-11-23,100.32,100.83,83.69,92.57,92.36,Stay Long
SQ,2018-11-23,70.09,70.40,55.37,63.47,63.08,Stay Long
SSNC,2018-11-23,47.27,47.49,42.73,45.69,45.30,Stay Long
STM,2018-11-23,14.13,14.33,13.39,14.08,13.93,Stay Long
STMP,2018-11-23,153.35,162.43,145.78,158.86,155.69,Stay Long
STT,2018-11-23,71.51,73.11,69.36,71.89,71.45,Stay Long
STX,2018-11-23,43.26,43.58,40.47,42.95,42.33,Stay Long
STZ,2018-11-23,196.02,196.19,187.87,192.84,192.30,Stay Long
SUPN,2018-11-23,43.99,44.14,41.42,42.82,42.79,Stay Long
SUPV,2018-11-23,8.82,9.21,8.62,9.13,8.99,Stay Long
TBK,2018-11-23,36.99,37.57,36.02,37.02,36.87,Stay Long
TEAM,2018-11-23,75.48,75.75,65.17,73.20,71.37,Stay Long
TECH,2018-11-23,160.41,161.23,152.39,159.48,157.70,Stay Long
TER,2018-11-23,36.13,36.44,33.09,35.86,35.13,Stay Long
THO,2018-11-23,67.30,69.49,64.02,67.29,66.93,Stay Long
TLRY,2018-11-23,110.46,117.77,99.35,116.03,111.05,Stay Long
TLT,2018-11-23,114.41,115.76,114.41,115.14,115.10,Stay Long
TREX,2018-11-23,58.35,61.06,57.37,59.77,59.40,Stay Long
TRHC,2018-11-23,65.94,66.71,56.07,65.33,62.70,Stay Long
TROW,2018-11-23,95.85,95.89,91.48,94.65,94.01,Stay Long
TTD,2018-11-23,123.85,124.02,105.34,119.35,116.24,Stay Long
TWOU,2018-11-23,53.69,54.00,47.83,51.19,51.01,Stay Long
TYL,2018-11-23,188.31,189.33,176.55,186.18,184.02,Stay Long
UA,2018-11-23,20.11,20.22,18.72,20.08,19.67,Stay Long
UBNT,2018-11-23,110.87,112.45,104.50,108.53,108.49,Stay Long
ULTI,2018-11-23,249.22,249.22,229.93,243.83,240.99,Stay Long
UTX,2018-11-23,130.00,130.28,124.66,129.04,127.99,Stay Long
UUP,2018-11-23,25.69,25.88,25.64,25.87,25.80,Stay Long
VCTR,2018-11-23,11.88,12.39,11.44,12.14,11.99,Stay Long
VEEV,2018-11-23,91.77,92.48,79.61,88.87,86.99,Stay Long
VMW,2018-11-23,155.91,156.48,147.18,152.99,152.22,Stay Long
VPG,2018-11-23,33.39,33.66,31.32,32.79,32.59,Stay Long
WBA,2018-11-23,82.34,82.99,78.28,80.81,80.69,Stay Long
WDAY,2018-11-23,133.55,135.87,117.72,135.26,129.62,Stay Long
WDC,2018-11-23,46.13,48.09,42.60,47.34,46.01,Stay Long
WEN,2018-11-23,17.77,18.02,17.39,17.75,17.72,Stay Long
WGO,2018-11-23,25.66,26.36,24.60,25.73,25.56,Stay Long
WP,2018-11-23,81.85,82.83,75.88,79.49,79.40,Stay Long
WWE,2018-11-23,65.39,65.44,58.50,62.60,62.18,Stay Long
XHB,2018-11-23,34.12,34.81,33.39,34.53,34.24,Stay Long
XLNX,2018-11-23,90.26,90.39,83.45,87.26,87.03,Stay Long
YETI,2018-11-23,17.49,18.25,16.57,18.09,17.64,Stay Long
ZEN,2018-11-23,54.54,55.82,45.60,53.10,51.51,Stay Long
ZNH,2018-11-23,33.61,34.38,31.95,34.33,33.55,Stay Long
ZTO,2018-11-23,16.80,16.82,15.56,16.48,16.29,Stay Long
